name,description,price,sale,is_active,category_id,manufacturer_id,image
Дрель Bosch,Мощная дрель для любых задач.,5000,10,True,1,1,product_images/default_image.png
Отвертка Makita,Надежная отвертка для дома и работы.,1000,5,True,4,2,product_images/default_image.png
Пила DeWalt,Прочная и острая пила для точной резки.,3000,0,True,2,3,product_images/default_image.png
Шлифовальная машина Hilti,Эффективная шлифовальная машина для гладкой отделки.,7000,15,True,7,4,product_images/default_image.png
Ключ Black & Decker,Прочный ключ для различных применений.,1500,5,True,5,5,product_images/default_image.png
Молоток Stihl,Надежный молоток для строительства.,2000,10,True,3,6,product_images/default_image.png
Плоскогубцы Metabo,Удобные плоскогубцы для любых задач.,2500,0,True,6,7,product_images/default_image.png
Измерительная лента Hitachi,Точная измерительная лента.,500,5,True,8,8,product_images/default_image.png
Набор инструментов Festool,Комплексный набор инструментов.,10000,20,True,9,9,product_images/default_image.png
Защитные очки Ryobi,Надежные защитные очки.,800,10,True,10,10,product_images/default_image.png
Дрель Makita,Компактная дрель для дома и работы.,4500,10,True,1,2,product_images/default_image.png
Отвертка Bosch,Профессиональная отвертка для точных работ.,1200,5,True,4,1,product_images/default_image.png
Пила Stihl,Надежная пила для различных задач.,3500,10,True,2,6,product_images/default_image.png
Шлифовальная машина DeWalt,Мощная шлифовальная машина для профессионалов.,7500,10,True,7,3,product_images/default_image.png
Ключ Makita,Универсальный ключ для бытовых нужд.,1700,5,True,5,2,product_images/default_image.png
Молоток Bosch,Прочный молоток для строительства.,2200,10,True,3,1,product_images/default_image.png
Плоскогубцы Hilti,Удобные плоскогубцы для профессионального использования.,2800,5,True,6,4,product_images/default_image.png
Измерительная лента DeWalt,Надежная измерительная лента для точных измерений.,600,10,True,8,3,product_images/default_image.png
Набор инструментов Makita,Комплексный набор для домашних мастеров.,11000,15,True,9,2,product_images/default_image.png
Защитные очки Bosch,Прочные защитные очки для безопасной работы.,900,5,True,10,1,product_images/default_image.png
Дрель DeWalt,Мощная и надежная дрель для профессионалов.,4800,10,True,1,3,product_images/default_image.png
Отвертка Hilti,Высококачественная отвертка для точных работ.,1300,5,True,4,4,product_images/default_image.png
Пила Makita,Эффективная пила для различных задач.,3200,10,True,2,2,product_images/default_image.png
Шлифовальная машина Bosch,Эргономичная шлифовальная машина для удобной работы.,7100,15,True,7,1,product_images/default_image.png
Ключ DeWalt,Надежный ключ для профессионалов.,1600,5,True,5,3,product_images/default_image.png
Молоток Makita,Тяжелый молоток для строительных работ.,2100,10,True,3,2,product_images/default_image.png
Плоскогубцы Stihl,Прочные плоскогубцы для профессионального использования.,2700,5,True,6,6,product_images/default_image.png
Измерительная лента Makita,Точная измерительная лента для точных измерений.,550,5,True,8,2,product_images/default_image.png
Набор инструментов Bosch,Профессиональный набор инструментов для любой работы.,12000,20,True,9,1,product_images/default_image.png
Защитные очки DeWalt,Надежные защитные очки для безопасной работы.,850,5,True,10,3,product_images/default_image.png
Дрель Hilti,Профессиональная дрель с высокой мощностью.,5300,10,True,1,4,product_images/default_image.png
Отвертка DeWalt,Прочная отвертка для ежедневного использования.,1100,5,True,4,3,product_images/default_image.png
Пила Bosch,Мощная пила для точных работ.,3700,10,True,2,1,product_images/default_image.png
Шлифовальная машина Makita,Эргономичная шлифовальная машина для комфортной работы.,6900,15,True,7,2,product_images/default_image.png
Ключ Hilti,Прочный ключ для профессионального использования.,1800,5,True,5,4,product_images/default_image.png
Молоток DeWalt,Надежный молоток для любых строительных работ.,2300,10,True,3,3,product_images/default_image.png
Плоскогубцы Bosch,Удобные плоскогубцы для домашнего и профессионального использования.,2600,5,True,6,1,product_images/default_image.png
Измерительная лента Hilti,Точная измерительная лента для профессионального использования.,650,5,True,8,4,product_images/default_image.png
Набор инструментов DeWalt,Комплексный набор для профессиональных мастеров.,13000,20,True,9,3,product_images/default_image.png
Защитные очки Makita,Удобные защитные очки для безопасной работы.,950,5,True,10,2,product_images/default_image.png
