text,rating,product_id,author_id
Не оправдал ожиданий,3,1,1
"Плохое качество, не советую",4,1,2
"Плохое качество, не советую",4,2,1
"Среднее качество, но работает нормально",1,3,4
"Хороший продукт, рекомендую",3,3,2
Отличный товар!,4,3,1
Не оправдал ожиданий,1,3,3
"Хороший продукт, рекомендую",3,4,4
Отличный товар!,4,5,3
"Среднее качество, но работает нормально",1,5,2
"Хороший продукт, рекомендую",4,5,1
"Плохое качество, не советую",2,6,2
"Плохое качество, не советую",3,6,1
"Среднее качество, но работает нормально",1,7,4
"Плохое качество, не советую",5,7,3
"Хороший продукт, рекомендую",4,7,2
Не оправдал ожиданий,2,8,1
Не оправдал ожиданий,4,8,2
Не оправдал ожиданий,2,9,2
"Плохое качество, не советую",5,9,4
Отличный товар!,3,9,1
"Среднее качество, но работает нормально",3,10,4
Не оправдал ожиданий,5,10,2
Не оправдал ожиданий,1,10,3
"Среднее качество, но работает нормально",5,11,2
Отличный товар!,3,11,1
"Среднее качество, но работает нормально",1,11,3
"Хороший продукт, рекомендую",3,11,4
"Плохое качество, не советую",2,12,1
"Среднее качество, но работает нормально",2,12,2
"Плохое качество, не советую",2,12,4
"Хороший продукт, рекомендую",2,13,3
"Хороший продукт, рекомендую",5,14,3
"Среднее качество, но работает нормально",3,15,4
"Среднее качество, но работает нормально",3,15,1
"Плохое качество, не советую",3,15,3
Не оправдал ожиданий,4,15,2
Не оправдал ожиданий,5,16,3
"Хороший продукт, рекомендую",1,16,2
Отличный товар!,1,17,2
"Среднее качество, но работает нормально",5,17,1
Отличный товар!,2,17,4
"Среднее качество, но работает нормально",5,17,3
"Плохое качество, не советую",5,18,4
Не оправдал ожиданий,1,19,2
"Среднее качество, но работает нормально",3,19,3
Не оправдал ожиданий,5,19,1
Не оправдал ожиданий,4,19,4
Не оправдал ожиданий,3,20,4
"Среднее качество, но работает нормально",1,20,1
"Хороший продукт, рекомендую",2,20,2
"Хороший продукт, рекомендую",1,20,3
"Хороший продукт, рекомендую",1,21,4
"Хороший продукт, рекомендую",5,21,3
Не оправдал ожиданий,4,21,1
Отличный товар!,5,22,3
"Плохое качество, не советую",2,22,4
"Хороший продукт, рекомендую",1,22,1
"Хороший продукт, рекомендую",3,23,1
Не оправдал ожиданий,5,23,3
"Хороший продукт, рекомендую",4,23,2
Отличный товар!,3,23,4
"Среднее качество, но работает нормально",2,24,1
Отличный товар!,2,24,4
"Среднее качество, но работает нормально",2,24,2
Не оправдал ожиданий,4,25,3
Не оправдал ожиданий,5,25,4
"Среднее качество, но работает нормально",3,26,4
Отличный товар!,1,27,1
"Среднее качество, но работает нормально",3,27,4
Не оправдал ожиданий,5,28,3
Не оправдал ожиданий,5,28,4
"Хороший продукт, рекомендую",5,29,1
"Среднее качество, но работает нормально",1,29,4
"Хороший продукт, рекомендую",5,29,2
"Плохое качество, не советую",4,29,3
Отличный товар!,2,30,1
"Хороший продукт, рекомендую",1,30,2
"Среднее качество, но работает нормально",3,30,3
Отличный товар!,3,31,2
"Хороший продукт, рекомендую",3,32,2
Не оправдал ожиданий,2,32,3
Отличный товар!,1,33,2
"Хороший продукт, рекомендую",3,33,3
"Плохое качество, не советую",5,34,1
"Среднее качество, но работает нормально",3,35,1
Не оправдал ожиданий,2,35,3
"Среднее качество, но работает нормально",4,35,2
"Хороший продукт, рекомендую",2,36,1
"Среднее качество, но работает нормально",1,36,4
"Хороший продукт, рекомендую",3,36,3
"Хороший продукт, рекомендую",4,36,2
"Плохое качество, не советую",3,37,2
"Хороший продукт, рекомендую",2,37,1
"Хороший продукт, рекомендую",1,37,4
"Плохое качество, не советую",1,37,3
Отличный товар!,4,38,2
"Среднее качество, но работает нормально",3,38,4
"Плохое качество, не советую",3,38,3
"Хороший продукт, рекомендую",1,39,2
"Хороший продукт, рекомендую",5,40,1
Отличный товар!,5,40,3
Отличный товар!,4,40,4
"Плохое качество, не советую",5,40,2
